index,benchmark_id,sample_path,proposal_id,dao,chain_id,simulation_status,trace_source,call_count,max_depth,delegatecall_count,risk_action_count,raw_detected_count,filtered_count,deduplicated_count,risk_action_types,error,elapsed_seconds,trace_output,risk_actions_output
42,real-compound-0002,data\raw_samples\real-compound-0002.json,188,Compound,1,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:2,,9.363,outputs\traces\real-compound-0002-trace.json,outputs\risk_actions\real-compound-0002-risk-actions.json
43,real-compound-0003,data\raw_samples\real-compound-0003.json,176,Compound,1,success,simulated_trace,23,6,7,19,21,0,2,delegatecall:6;unknown:12;upgrade:1,,14.1,outputs\traces\real-compound-0003-trace.json,outputs\risk_actions\real-compound-0003-risk-actions.json
44,real-compound-0004,data\raw_samples\real-compound-0004.json,119,Compound,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,8.404,outputs\traces\real-compound-0004-trace.json,outputs\risk_actions\real-compound-0004-risk-actions.json
45,real-compound-0005,data\raw_samples\real-compound-0005.json,134,Compound,1,reverted_with_trace,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.615,outputs\traces\real-compound-0005-trace.json,outputs\risk_actions\real-compound-0005-risk-actions.json
46,real-compound-0006,data\raw_samples\real-compound-0006.json,175,Compound,1,reverted_with_trace,simulated_trace,1,0,0,1,1,0,0,transfer:1,,12.033,outputs\traces\real-compound-0006-trace.json,outputs\risk_actions\real-compound-0006-risk-actions.json
47,real-compound-0007,data\raw_samples\real-compound-0007.json,255,Compound,1,success,simulated_trace,41,7,11,25,33,0,8,approval:1;delegatecall:9;transfer:7;unknown:8,,31.138,outputs\traces\real-compound-0007-trace.json,outputs\risk_actions\real-compound-0007-risk-actions.json
48,real-compound-0008,data\raw_samples\real-compound-0008.json,238,Compound,1,success,simulated_trace,35,7,13,24,32,0,8,approval:2;delegatecall:9;transfer:2;unknown:11,,32.237,outputs\traces\real-compound-0008-trace.json,outputs\risk_actions\real-compound-0008-risk-actions.json
49,real-compound-0009,data\raw_samples\real-compound-0009.json,258,Compound,1,success,simulated_trace,29,7,8,17,24,0,7,approval:1;delegatecall:5;transfer:2;unknown:9,,24.736,outputs\traces\real-compound-0009-trace.json,outputs\risk_actions\real-compound-0009-risk-actions.json
50,real-compound-0010,data\raw_samples\real-compound-0010.json,341,Compound,1,success,simulated_trace,34,6,4,30,30,0,0,delegatecall:4;unknown:25;upgrade:1,,21.67,outputs\traces\real-compound-0010-trace.json,outputs\risk_actions\real-compound-0010-risk-actions.json
51,real-compound-0011,data\raw_samples\real-compound-0011.json,318,Compound,1,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:2,,8.927,outputs\traces\real-compound-0011-trace.json,outputs\risk_actions\real-compound-0011-risk-actions.json
52,real-compound-0012,data\raw_samples\real-compound-0012.json,240,Compound,1,success,simulated_trace,63,4,9,39,63,0,24,delegatecall:1;unknown:38,,48.291,outputs\traces\real-compound-0012-trace.json,outputs\risk_actions\real-compound-0012-risk-actions.json
53,real-compound-0013,data\raw_samples\real-compound-0013.json,402,Compound,1,success,simulated_trace,11,3,5,11,11,0,0,delegatecall:5;transfer:3;unknown:3,,12.294,outputs\traces\real-compound-0013-trace.json,outputs\risk_actions\real-compound-0013-risk-actions.json
54,real-compound-0014,data\raw_samples\real-compound-0014.json,426,Compound,1,success,simulated_trace,46,8,10,44,44,0,0,bridge:1;delegatecall:10;transfer:2;unknown:30;upgrade:1,,41.177,outputs\traces\real-compound-0014-trace.json,outputs\risk_actions\real-compound-0014-risk-actions.json
55,real-compound-0015,data\raw_samples\real-compound-0015.json,418,Compound,1,success,simulated_trace,47,8,10,45,45,0,0,delegatecall:10;unknown:34;upgrade:1,,32.592,outputs\traces\real-compound-0015-trace.json,outputs\risk_actions\real-compound-0015-risk-actions.json
56,real-compound-0016,data\raw_samples\real-compound-0016.json,451,Compound,1,success,simulated_trace,10,2,1,7,7,0,0,delegatecall:1;transfer:1;unknown:5,,15.107,outputs\traces\real-compound-0016-trace.json,outputs\risk_actions\real-compound-0016-risk-actions.json
57,real-compound-0017,data\raw_samples\real-compound-0017.json,466,Compound,1,success,simulated_trace,18,2,2,8,12,0,4,delegatecall:1;transfer:1;unknown:6,,17.651,outputs\traces\real-compound-0017-trace.json,outputs\risk_actions\real-compound-0017-risk-actions.json
58,real-compound-0018,data\raw_samples\real-compound-0018.json,442,Compound,1,success,simulated_trace,87,8,22,80,84,0,4,bridge:1;delegatecall:20;transfer:2;unknown:55;upgrade:2,,65.764,outputs\traces\real-compound-0018-trace.json,outputs\risk_actions\real-compound-0018-risk-actions.json
59,real-compound-0019,data\raw_samples\real-compound-0019.json,545,Compound,1,reverted_with_trace,simulated_trace,32,4,8,11,21,0,10,delegatecall:2;transfer:3;unknown:6,,29.362,outputs\traces\real-compound-0019-trace.json,outputs\risk_actions\real-compound-0019-risk-actions.json
60,real-compound-0020,data\raw_samples\real-compound-0020.json,506,Compound,1,success,simulated_trace,11,5,5,9,11,0,2,delegatecall:4;unknown:5,,12.781,outputs\traces\real-compound-0020-trace.json,outputs\risk_actions\real-compound-0020-risk-actions.json
61,real-ens-0001,data\raw_samples\real-ens-0001.json,55447465396737793905646186593156244424717001140618132725073945884287085787959,ENS,1,success,simulated_trace,13,4,3,12,13,1,0,approval:9;delegatecall:2;unknown:1,,142.684,outputs\traces\real-ens-0001-trace.json,outputs\risk_actions\real-ens-0001-risk-actions.json
62,real-ens-0002,data\raw_samples\real-ens-0002.json,43203199770691383238593940280239053946984014979449022275641313046078578194694,ENS,1,reverted_with_trace,simulated_trace,1,0,0,0,0,0,0,,,4.698,outputs\traces\real-ens-0002-trace.json,outputs\risk_actions\real-ens-0002-risk-actions.json
63,real-ens-0003,data\raw_samples\real-ens-0003.json,90476529665364161211265365238121921179703522228680648046371476645353679539653,ENS,1,success,simulated_trace,1,0,0,1,1,0,0,approval:1,,8.801,outputs\traces\real-ens-0003-trace.json,outputs\risk_actions\real-ens-0003-risk-actions.json
64,real-ens-0004,data\raw_samples\real-ens-0004.json,112764562576314516994943312429834673309292069549953740415731020720942627228986,ENS,1,success,simulated_trace,2,1,1,2,2,0,0,approval:1;delegatecall:1,,9.266,outputs\traces\real-ens-0004-trace.json,outputs\risk_actions\real-ens-0004-risk-actions.json
65,real-ens-0005,data\raw_samples\real-ens-0005.json,27850654116740852236526757351596115114486670304472932313768517382407193376455,ENS,1,reverted_with_trace,simulated_trace,5,1,2,2,4,0,2,delegatecall:1;transfer:1,,15.383,outputs\traces\real-ens-0005-trace.json,outputs\risk_actions\real-ens-0005-risk-actions.json
66,real-ens-0006,data\raw_samples\real-ens-0006.json,8759198094868535520038506706231539487662297008587733129541987545743856603253,ENS,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,35.898,outputs\traces\real-ens-0006-trace.json,outputs\risk_actions\real-ens-0006-risk-actions.json
