index,benchmark_id,sample_path,proposal_id,dao,chain_id,simulation_status,trace_source,call_count,max_depth,delegatecall_count,risk_action_count,raw_detected_count,filtered_count,deduplicated_count,risk_action_types,error,elapsed_seconds,trace_output,risk_actions_output
32,real-uniswap-0001,data\raw_samples\real-uniswap-0001.json,14,Uniswap,1,success,simulated_trace,2,1,0,2,2,0,0,bridge:1;unknown:1,,6.614,outputs\traces\real-uniswap-0001-trace.json,outputs\risk_actions\real-uniswap-0001-risk-actions.json
33,real-uniswap-0002,data\raw_samples\real-uniswap-0002.json,31,Uniswap,1,success,simulated_trace,2,1,0,0,0,0,0,,,14.121,outputs\traces\real-uniswap-0002-trace.json,outputs\risk_actions\real-uniswap-0002-risk-actions.json
34,real-uniswap-0003,data\raw_samples\real-uniswap-0003.json,34,Uniswap,1,success,simulated_trace,1,0,0,0,0,0,0,,,11.596,outputs\traces\real-uniswap-0003-trace.json,outputs\risk_actions\real-uniswap-0003-risk-actions.json
35,real-uniswap-0005,data\raw_samples\real-uniswap-0005.json,26,Uniswap,1,reverted_with_trace,simulated_trace,2,1,1,1,1,0,0,delegatecall:1,,7.917,outputs\traces\real-uniswap-0005-trace.json,outputs\risk_actions\real-uniswap-0005-risk-actions.json
36,real-uniswap-0006,data\raw_samples\real-uniswap-0006.json,27,Uniswap,1,reverted_with_trace,simulated_trace,2,1,1,1,1,0,0,delegatecall:1,,6.251,outputs\traces\real-uniswap-0006-trace.json,outputs\risk_actions\real-uniswap-0006-risk-actions.json
37,real-uniswap-0009,data\raw_samples\real-uniswap-0009.json,47,Uniswap,1,success,simulated_trace,8,3,4,4,8,0,4,delegatecall:2;transfer:2,,10.237,outputs\traces\real-uniswap-0009-trace.json,outputs\risk_actions\real-uniswap-0009-risk-actions.json
38,real-uniswap-0010,data\raw_samples\real-uniswap-0010.json,42,Uniswap,1,success,simulated_trace,2,1,0,0,0,0,0,,,7.943,outputs\traces\real-uniswap-0010-trace.json,outputs\risk_actions\real-uniswap-0010-risk-actions.json
39,real-uniswap-0011,data\raw_samples\real-uniswap-0011.json,55,Uniswap,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,11.322,outputs\traces\real-uniswap-0011-trace.json,outputs\risk_actions\real-uniswap-0011-risk-actions.json
40,real-uniswap-0012,data\raw_samples\real-uniswap-0012.json,53,Uniswap,1,success,simulated_trace,9,1,0,2,8,0,6,approval:1;transfer:1,,17.872,outputs\traces\real-uniswap-0012-trace.json,outputs\risk_actions\real-uniswap-0012-risk-actions.json
41,real-uniswap-0013,data\raw_samples\real-uniswap-0013.json,70,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,5.207,outputs\traces\real-uniswap-0013-trace.json,outputs\risk_actions\real-uniswap-0013-risk-actions.json
42,real-uniswap-0014,data\raw_samples\real-uniswap-0014.json,86,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,5.638,outputs\traces\real-uniswap-0014-trace.json,outputs\risk_actions\real-uniswap-0014-risk-actions.json
43,real-uniswap-0015,data\raw_samples\real-uniswap-0015.json,80,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.17,outputs\traces\real-uniswap-0015-trace.json,outputs\risk_actions\real-uniswap-0015-risk-actions.json
44,real-uniswap-0016,data\raw_samples\real-uniswap-0016.json,68,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.971,outputs\traces\real-uniswap-0016-trace.json,outputs\risk_actions\real-uniswap-0016-risk-actions.json
45,real-uniswap-0017,data\raw_samples\real-uniswap-0017.json,78,Uniswap,1,success,simulated_trace,2,1,0,0,0,0,0,,,30.538,outputs\traces\real-uniswap-0017-trace.json,outputs\risk_actions\real-uniswap-0017-risk-actions.json
46,real-uniswap-0018,data\raw_samples\real-uniswap-0018.json,94,Uniswap,1,success,simulated_trace,59,5,26,28,58,0,30,bridge:1;delegatecall:12;permission_change:1;transfer:2;unknown:12,,20.727,outputs\traces\real-uniswap-0018-trace.json,outputs\risk_actions\real-uniswap-0018-risk-actions.json
47,real-uniswap-0019,data\raw_samples\real-uniswap-0019.json,71,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.22,outputs\traces\real-uniswap-0019-trace.json,outputs\risk_actions\real-uniswap-0019-risk-actions.json
48,real-uniswap-0020,data\raw_samples\real-uniswap-0020.json,75,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.541,outputs\traces\real-uniswap-0020-trace.json,outputs\risk_actions\real-uniswap-0020-risk-actions.json
